qid,docno,label,iteration
q062228,doc062200114961,0,0
q062228,doc062200208199,0,0
q062228,doc062200110178,0,0
q062228,doc062200113716,0,0
q062228,doc062200108837,0,0
q062228,doc062200106584,0,0
q062228,doc062200201956,0,0
q062228,doc062200203457,0,0
q062228,doc062200116555,1,0
q062228,doc062200116273,2,0
q062287,doc062200207414,0,0
q062287,doc062200115312,0,0
q062287,doc062200113484,0,0
q062287,doc062200209981,1,0
q062287,doc062200205393,0,0
q062287,doc062200105849,0,0
q062287,doc062200109238,0,0
q062287,doc062200210002,0,0
q062287,doc062200205285,0,0
q062287,doc062200110209,0,0
q062287,doc062200204621,0,0
q062287,doc062200209374,0,0
q062287,doc062200108517,0,0
q062287,doc062200201728,2,0
q062287,doc062200109291,0,0
q062287,doc062200110304,0,0
q06223261,doc062200112094,0,0
q06223261,doc062200200637,0,0
q06223261,doc062200105849,1,0
q06223261,doc062200203016,0,0
q06223261,doc062200206830,0,0
q06223261,doc062200110939,0,0
q06223261,doc062200207867,1,0
q06223261,doc062200103181,0,0
q06223261,doc062200210002,0,0
q06223261,doc062200100353,0,0
q06223261,doc062200112060,0,0
q06223261,doc062200207414,1,0
q06223261,doc062200108517,0,0
q06223261,doc062200110209,0,0
q06223261,doc062200105333,0,0
q06223261,doc062200105455,0,0
q06223261,doc062200115312,0,0
q06223261,doc062200104063,0,0
q06223261,doc062200115265,0,0
q06223261,doc062200206790,2,0
q06223261,doc062200110304,1,0
q062291,doc062200116660,0,0
q062291,doc062200110146,0,0
q062291,doc062200111596,1,0
q062291,doc062200200162,1,0
q062291,doc062200208682,0,0
q062291,doc062200103538,0,0
q062291,doc062200111886,2,0
q062291,doc062200112337,1,0
q062291,doc062200203613,0,0
q062291,doc062200110304,1,0
q062295,doc062200112295,0,0
q062295,doc062200110306,0,0
q062295,doc062200203654,0,0
q062295,doc062200209377,0,0
q062295,doc062200206413,1,0
q062295,doc062200203623,2,0
q062295,doc062200113484,0,0
q062295,doc062200101227,0,0
q062295,doc062200117342,0,0
q062295,doc062200207908,0,0
q062295,doc062200115378,1,0
q062295,doc062200205626,0,0
q062295,doc062200203368,1,0
q062295,doc062200101434,0,0
q062295,doc062200210392,0,0
q062295,doc062200110794,0,0
q062295,doc062200109357,0,0
q062295,doc062200209981,1,0
q062295,doc062200102930,0,0
q062295,doc062200109238,0,0
q0622107,doc062200115620,0,0
q0622107,doc062200201419,0,0
q0622107,doc062200103953,2,0
q0622107,doc062200111433,2,0
q0622107,doc062200103902,0,0
q0622107,doc062200206310,0,0
q0622107,doc062200202070,0,0
q0622107,doc062200210498,1,0
q0622107,doc062200205592,1,0
q0622107,doc062200107753,1,0
q0622118,doc062200114695,0,0
q0622118,doc062200200809,0,0
q0622118,doc062200210572,0,0
q0622118,doc062200203991,1,0
q0622118,doc062200114438,1,0
q0622118,doc062200202099,0,0
q0622118,doc062200211803,0,0
q0622118,doc062200111941,1,0
q0622118,doc062200205596,0,0
q0622118,doc062200109745,0,0
q0622118,doc062200211452,0,0
q0622141,doc062200108533,1,0
q0622141,doc062200109843,1,0
q0622141,doc062200206242,1,0
q0622141,doc062200201372,0,0
q0622141,doc062200101415,0,0
q0622141,doc062200201587,0,0
q0622141,doc062200205256,0,0
q0622141,doc062200109388,0,0
q0622141,doc062200111149,0,0
q0622141,doc062200107358,0,0
q0622141,doc062200200847,0,0
q0622141,doc062200207897,0,0
q0622141,doc062200102651,0,0
q0622141,doc062200112650,0,0
q0622141,doc062200206842,0,0
q06229532,doc062200201305,0,0
q06229532,doc062200110339,0,0
q06229532,doc062200210819,0,0
q06229532,doc062200104426,0,0
q06229532,doc062200210716,1,0
q06229532,doc062200106797,0,0
q06229532,doc062200114271,0,0
q06229532,doc062200210239,0,0
q06229532,doc062200201480,0,0
q062216106,doc062200209811,1,0
q062216106,doc062200209043,0,0
q062216106,doc062200117295,0,0
q062216106,doc062200203250,0,0
q062216106,doc062200110304,2,0
q062216106,doc062200200759,1,0
q0622226,doc062200103883,2,0
q0622226,doc062200117219,0,0
