qid,docno,label,iteration
q012318,doc012303114898,0,0
q012318,doc012307806130,1,0
q012318,doc012311314092,0,0
q012318,doc012301310209,0,0
q012318,doc012311608989,0,0
q012318,doc012306407366,0,0
q012318,doc012300503426,0,0
q012318,doc012310401580,0,0
q012318,doc012301309907,0,0
q012318,doc012304304395,0,0
q012318,doc012302309020,0,0
q012318,doc012310509116,0,0
q012318,doc012304406465,0,0
q012318,doc012311713872,0,0
q012318,doc012307102191,0,0
q012318,doc012309103548,0,0
q012318,doc012310509329,0,0
q012318,doc012312300028,0,0
q012318,doc012303014840,1,0
q012318,doc012303908075,0,0
q012318,doc012304313705,0,0
q012318,doc012307806823,0,0
q012318,doc012310509423,0,0
q012318,doc012300910761,0,0
q012318,doc012311608058,0,0
q012318,doc012304200659,0,0
q012318,doc012305205237,0,0
q012318,doc012311714128,0,0
q012318,doc012310413398,0,0
q012318,doc012305205578,0,0
q012318,doc012311313365,1,0
q012318,doc012300503747,0,0
q012318,doc012302114183,1,0
q012318,doc012306405291,0,0
q012318,doc012310508649,0,0
q012318,doc012301103651,0,0
q012318,doc012311802151,1,0
q012318,doc012303707337,0,0
q012318,doc012300910150,0,0
q012318,doc012310401090,1,0
q012318,doc012306404679,0,0
q012318,doc012305915548,0,0
q0123180,doc012309103499,2,0
q0123180,doc012304101888,0,0
q0123180,doc012305204606,0,0
q0123180,doc012300401980,1,0
q0123180,doc012306600640,0,0
q0123180,doc012309211294,1,0
q0123180,doc012302114357,0,0
q0123180,doc012307704139,0,0
q0123180,doc012310413271,0,0
q0123180,doc012306600660,0,0
q0123180,doc012307704241,0,0
q0123180,doc012311714365,1,0
q0123180,doc012310508687,1,0
q0123180,doc012302114257,2,0
q0123180,doc012304304773,1,0
q0123240,doc012300503369,0,0
q0123240,doc012311908750,2,0
q0123240,doc012305205306,0,0
q0123240,doc012302714720,0,0
q0123240,doc012303100967,1,0
q0123240,doc012310508339,2,0
q0123240,doc012308602282,1,0
q0123240,doc012301119393,2,0
q0123240,doc012308900790,2,0
q0123387,doc012301310035,0,0
q0123387,doc012312700990,2,0
q0123387,doc012309211286,2,0
q0123387,doc012312601743,1,0
q0123387,doc012309508292,0,0
q0123387,doc012303014480,0,0
q0123387,doc012305714877,0,0
q0123387,doc012300401128,0,0
q0123387,doc012305205511,1,0
q0123387,doc012305915436,2,0
q0123387,doc012310401176,0,0
q0123387,doc012310509194,2,0
q0123607,doc012303907646,1,0
q0123607,doc012302005024,1,0
q0123607,doc012310401528,1,0
q0123607,doc012300910583,1,0
q0123607,doc012310413634,1,0
q0123607,doc012311306120,1,0
q0123626,doc012303014421,0,0
q0123626,doc012312210018,0,0
q0123626,doc012305915093,1,0
q0123626,doc012303014874,2,0
q0123626,doc012303014254,1,0
q0123626,doc012310413080,1,0
q0123626,doc012300603256,1,0
q0123626,doc012310413053,0,0
q0123626,doc012306600569,0,0
q0123626,doc012307704072,0,0
q0123626,doc012311305547,0,0
q0123626,doc012308602358,0,0
q0123626,doc012311208708,0,0
q0123626,doc012306404715,1,0
q0123626,doc012304313347,0,0
q0123626,doc012302005032,0,0
q0123626,doc012300503568,0,0
q0123626,doc012302114222,0,0
q0123805,doc012302414837,0,0
q0123805,doc012309103643,0,0
